created_on,name,database_name,schema_name,kind,comment,cluster_by,rows,bytes,owner,retention_time
04:06.4,BUSINESS,WEATHERRESTAURANTS,ODS,TABLE,,,160584,11966464,SYSADMIN,1
33:36.0,CHECKIN,WEATHERRESTAURANTS,ODS,TABLE,,,138876,115036672,SYSADMIN,1
30:52.5,CLIMATE,WEATHERRESTAURANTS,ODS,TABLE,,,41325643,330245120,SYSADMIN,1
26:22.8,COVID,WEATHERRESTAURANTS,ODS,TABLE,,,209874,5652992,SYSADMIN,1
13:31.1,PRECIPITATION,WEATHERRESTAURANTS,ODS,TABLE,,,23164,101888,SYSADMIN,1
14:09.2,REVIEWS,WEATHERRESTAURANTS,ODS,TABLE,,,8634642,2705240064,SYSADMIN,1
58:04.8,TEMPERATURE,WEATHERRESTAURANTS,ODS,TABLE,,,23157,120320,SYSADMIN,1
32:01.9,TIP,WEATHERRESTAURANTS,ODS,TABLE,,,1162051,77265408,SYSADMIN,1
29:14.5,USERS,WEATHERRESTAURANTS,ODS,TABLE,,,2189448,2160107520,SYSADMIN,1
27:59.7,YELP_CLIMATE,WEATHERRESTAURANTS,ODS,TABLE,,,144441191,1.16181E+11,SYSADMIN,1
52:10.0,YELP_FLATTENED_BUSINESS,WEATHERRESTAURANTS,ODS,TABLE,,,160584,11923968,SYSADMIN,1
49:48.0,YELP_FLATTENED_CHECKIN,WEATHERRESTAURANTS,ODS,TABLE,,,138876,114757632,SYSADMIN,1
51:51.3,YELP_FLATTENED_COVID,WEATHERRESTAURANTS,ODS,TABLE,,,209874,5180416,SYSADMIN,1
52:00.5,YELP_FLATTENED_REVIEW,WEATHERRESTAURANTS,ODS,TABLE,,,8634642,2703311872,SYSADMIN,1
49:53.8,YELP_FLATTENED_TIP,WEATHERRESTAURANTS,ODS,TABLE,,,1162051,78386176,SYSADMIN,1
10:45.0,YELP_FLATTENED_USER,WEATHERRESTAURANTS,ODS,TABLE,,,2189448,2164952064,SYSADMIN,1
